HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	FemaleMaturity_days	Male maturity_days	GestationPerIncubation_days	Weaning_days	LitterPerClutchSize	LittersPerClutchesPerYear	InterlitterPerInterbirthInterval	Birth weight_g	Weaning weight_g	AdultWeight_g	GrowthRatePerDay	MaximumLong_Years	Source	SpecimenOrigin	SampleSize	DataQuality	IMRperYear	MRDT_yrs	MetabolicRate_W	BodyMass_g	Temperature_K
3	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	pulicaria												0.19		unknown	medium	acceptable					
5	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	7	7										0.3		captivity	large	acceptable	0.05	0.04			
6	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera												8	812	unknown	medium	acceptable					
8	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	obscurior												0.5	1293	captivity	medium	acceptable					
9	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger												28	411	unknown	medium	acceptable					
10	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	dentata												0.4	1156	captivity	medium	questionable					
11	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	15	15										0.5	811	wild	medium	acceptable					
12	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus												100	2	wild	medium	acceptable					
15	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	bombina	1095	1095			190							20	485	captivity	medium	acceptable					
16	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	orientalis					148							15.8	451	captivity	large	acceptable					
17	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata					73							29		captivity	medium	acceptable					
18	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	americanus	910	910	8		6000		365			21.7667		36	525	captivity	medium	acceptable			0.00829	21.6	288
19	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	boreas	1095	1095	6		5200							11.5	451	captivity	medium	acceptable					
20	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	canorus	1825	1460	11		1750							15	503	wild	medium	acceptable					
21	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	cognatus	730	730	4		11074							10.7	485	captivity	small	questionable					
22	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	debilis					1300							12.4	451	captivity	small	acceptable					
23	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	hemiophrys	730	730										13.3	451	captivity	small	acceptable					
24	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	punctatus	730	730			1500							11.3	485	captivity	medium	acceptable					
25	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	retiformis			2									15.3	451	captivity	small	acceptable					
26	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	terrestris			3		3250					19.267		10	451	captivity	medium	acceptable			0.00698	19.2	288
27	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	varius												10	451	captivity	large	acceptable					
28	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	1460	1460										40	451	captivity	medium	acceptable					
29	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	alvarius		1095			7750							15.4	485	captivity	medium	acceptable					
30	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	asperginis												5	990	captivity	medium	questionable					
31	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	lemur												10.7	451	captivity	small	acceptable					
32	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	peltocephala												20	485	captivity	small	acceptable					
33	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	viridis												11.9	451	captivity	large	acceptable					
34	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	blombergi												28.7	451	captivity	tiny	acceptable					
35	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	arenarum														unknown	small	low					
36	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	marina	365	365	2		10000					106.25		24.8	485	captivity	large	acceptable			0.0303	105	293
37	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	schneideri												15.1	451	captivity	small	acceptable					
38	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	aurita												12.8	451	captivity	small	acceptable					
39	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	calcarata												15.9	451	captivity	tiny	acceptable					
40	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	cornuta												10.3	485	captivity	small	acceptable					
41	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	ornata												14.7	451	captivity	medium	acceptable					
42	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	auratus	365	365	12		6							20.5	448	captivity	large	acceptable					
43	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	leucomelas	75	75	12		7							11.5	451	captivity	large	acceptable					
44	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	tinctorius														unknown	large	low					
45	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	histrionica												9.1	451	captivity	medium	acceptable					
46	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	pumilio												7.5	451	captivity	medium	acceptable					
47	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	vittatus	304	304	15		14									unknown	medium	low					
